t,i,q,dq,q_des,dq_des
0.879060,0,0.189641,-0.970245,0.110686,0.000000
0.881060,0,0.187724,-0.965209,0.108933,0.000000
0.883059,0,0.185806,-0.985352,0.107176,0.000000
0.885057,0,0.183889,-0.965209,0.105417,0.000000
0.887060,0,0.181588,-0.992218,0.103649,0.000000
0.889058,0,0.179670,-0.952392,0.101881,0.000000
0.891060,0,0.177753,-1.019684,0.100106,0.000000
0.893059,0,0.175836,-0.975281,0.098328,0.000000
0.895058,0,0.173918,-1.013733,0.096548,0.000000
0.897059,0,0.172001,-1.014191,0.094762,0.000000
0.899060,0,0.170083,-0.961547,0.092972,0.000000
0.901059,0,0.167782,-0.990387,0.091180,0.000000
0.903060,0,0.165865,-0.996796,0.089383,0.000000
0.905059,0,0.163947,-0.967041,0.087584,0.000000
0.907060,0,0.161646,-1.028382,0.085780,0.000000
0.909059,0,0.160112,-0.909362,0.083973,0.000000
0.911060,0,0.157811,-0.973450,0.082162,0.000000
0.913059,0,0.155510,-1.038453,0.080349,0.000000
0.915060,0,0.153593,-0.995422,0.078532,0.000000
0.917060,0,0.151675,-1.036164,0.076712,0.000000
0.919060,0,0.149374,-0.997711,0.074890,0.000000
0.921060,0,0.147457,-0.997711,0.073064,0.000000
0.923059,0,0.145538,-1.007782,0.071236,0.000000
0.925061,0,0.143237,-1.042573,0.069403,0.000000
0.927060,0,0.141319,-1.012817,0.067569,0.000000
0.929060,0,0.139402,-0.992218,0.065732,0.000000
0.931060,0,0.137485,-1.016479,0.063892,0.000000
0.933059,0,0.135567,-0.997253,0.062051,0.000000
0.935059,0,0.133266,-0.997711,0.060206,0.000000
0.937060,0,0.130965,-1.044404,0.058359,0.000000
0.939060,0,0.129048,-0.983978,0.056509,0.000000
0.941060,0,0.127130,-1.022430,0.054657,0.000000
0.943059,0,0.124829,-1.053559,0.052804,0.000000
0.945058,0,0.122912,-1.008240,0.050949,0.000000
0.947057,0,0.120994,-0.958800,0.049093,0.000000
0.949057,0,0.118693,-1.050355,0.047233,0.000000
0.951059,0,0.116776,-1.014191,0.045369,0.000000
0.953056,0,0.114475,-1.075990,0.043509,0.000000
0.955060,0,0.112557,-1.049897,0.041639,0.000000
0.957056,0,0.110640,-1.012817,0.039776,0.000000
0.959056,0,0.108722,-1.006409,0.037907,0.000000
0.961060,0,0.106805,-0.962005,0.036033,0.000000
0.963059,0,0.104504,-0.991302,0.034162,0.000000
0.965056,0,0.102586,-1.005035,0.032292,0.000000
0.967059,0,0.100669,-1.018768,0.030415,0.000000
0.969057,0,0.098368,-1.032960,0.028542,0.000000
0.971059,0,0.096451,-1.021057,0.026663,0.000000
0.973058,0,0.094533,-1.013275,0.024787,0.000000
0.975060,0,0.092616,-1.048982,0.022906,0.000000
0.977059,0,0.090315,-1.016937,0.021027,0.000000
0.979060,0,0.088397,-1.032044,0.019146,0.000000
0.981060,0,0.086480,-1.011444,0.017265,0.000000
0.983060,0,0.084179,-0.988556,0.015383,0.000000
0.985061,0,0.082261,-1.029298,0.013500,0.000000
0.987060,0,0.080344,-0.965209,0.011617,0.000000
0.989060,0,0.078426,-0.910277,0.009733,0.000000
0.991060,0,0.076509,-0.963378,0.007850,0.000000
0.993060,0,0.074208,-1.037080,0.005965,0.000000
0.995059,0,0.072290,-0.992218,0.004081,0.000000
0.997060,0,0.070373,-1.044862,0.002196,0.000000
0.999060,0,0.068455,-0.975738,0.000311,0.000000
1.001059,0,0.066538,-0.951018,-0.001574,0.000000
1.003060,0,0.064620,-0.994507,-0.003459,0.000000
1.005059,0,0.062703,-1.005493,-0.005343,0.000000
1.007060,0,0.060402,-1.026551,-0.007228,0.000000
